query,hint,latency_seconds,error
3b.sql,hint5,2.317002,
3b.sql,hint6,,
3b.sql,hint7,0.070159,
3b.sql,hint8,,
3b.sql,hint9,1.906594,
3b.sql,hint10,1.916898,
3b.sql,hint11,0.097723,
3b.sql,hint12,1.473993,
3b.sql,hint13,1.918374,
3b.sql,hint14,0.088928,
3b.sql,hint15,0.723139,
3b.sql,hint16,1.874649,
3b.sql,hint17,1.864672,
3b.sql,hint18,0.098292,
3b.sql,hint19,0.072019,
3b.sql,hint20,0.715526,
3b.sql,hint21,0.100275,
3b.sql,hint22,0.069201,
3b.sql,hint23,0.7421449999999999,
3b.sql,hint24,0.080206,
3b.sql,hint25,0.716631,
3b.sql,hint26,0.108006,
3b.sql,hint27,0.718741,
3b.sql,hint28,,
3b.sql,hint29,0.1033559999999999,
3b.sql,hint30,,
3b.sql,hint31,1.949418,
3b.sql,hint32,0.099144,
3b.sql,hint33,,
3b.sql,hint34,1.899578,
3b.sql,hint35,,
3b.sql,hint36,0.0880759999999999,
3b.sql,hint37,1.588625,
3b.sql,hint38,,
3b.sql,hint39,0.096403,
3b.sql,hint40,3.070089,
3b.sql,hint41,0.119673,
3b.sql,hint42,0.088407,
3b.sql,hint43,1.940745,
3b.sql,hint44,0.099535,
3b.sql,hint45,0.071528,
3b.sql,hint46,0.078894,
3b.sql,hint47,1.58579,
3b.sql,hint48,0.085739,
13c.sql, ,0.381859,
13c.sql,hint1,,
13c.sql,hint2,2.505412,
13c.sql,hint3,2.1119920000000003,
13c.sql,hint4,0.7744650000000001,
13c.sql,hint5,1.584179,
13c.sql,hint6,0.783326,
13c.sql,hint7,0.360869,
13c.sql,hint8,1.553815,
13c.sql,hint9,,
13c.sql,hint10,0.5214930000000001,
13c.sql,hint11,0.5081519999999999,
13c.sql,hint12,1.552103,
13c.sql,hint13,0.527976,
13c.sql,hint14,0.504779,
13c.sql,hint15,1.563919,
13c.sql,hint16,,
13c.sql,hint17,2.124369,
13c.sql,hint18,,
13c.sql,hint19,0.361033,
13c.sql,hint20,1.545297,
13c.sql,hint21,0.773328,
13c.sql,hint22,0.384899,
13c.sql,hint23,1.554934,
13c.sql,hint24,0.505228,
13c.sql,hint25,1.581628,
13c.sql,hint26,0.504587,
13c.sql,hint27,1.56364,
13c.sql,hint28,,
13c.sql,hint29,0.782692,
13c.sql,hint30,,
13c.sql,hint31,2.629835,
13c.sql,hint32,0.782529,
13c.sql,hint33,,
13c.sql,hint34,,
13c.sql,hint35,0.528224,
13c.sql,hint36,0.127592,
13c.sql,hint37,4.012819,
13c.sql,hint38,0.5165879999999999,
13c.sql,hint39,0.122625,
13c.sql,hint40,,
13c.sql,hint41,0.775942,
13c.sql,hint42,0.7672190000000001,
13c.sql,hint43,,
13c.sql,hint44,0.7680650000000001,
13c.sql,hint45,,
13c.sql,hint46,0.120406,
13c.sql,hint47,,
13c.sql,hint48,0.121131,
13a.sql, ,1.053225,
13a.sql,hint1,20.505241,
13a.sql,hint2,2.230725,
13a.sql,hint3,2.04662,
13a.sql,hint4,2.351885,
13a.sql,hint5,1.35211,
13a.sql,hint6,,
13a.sql,hint7,0.915275,
13a.sql,hint8,1.358941,
13a.sql,hint9,20.450802,
13a.sql,hint10,4.600528000000001,
13a.sql,hint11,4.856917999999999,
13a.sql,hint12,,
13a.sql,hint13,4.647583,
13a.sql,hint14,4.464811,
13a.sql,hint15,1.946625,
13a.sql,hint16,2.0014659999999997,
13a.sql,hint17,1.729343,
13a.sql,hint18,2.350779,
13a.sql,hint19,0.929269,
13a.sql,hint20,1.368992,
13a.sql,hint21,2.326745,
13a.sql,hint22,0.925345,
13a.sql,hint23,1.338276,
13a.sql,hint24,,
13a.sql,hint25,1.32765,
13a.sql,hint26,4.460654000000001,
13a.sql,hint27,,
13a.sql,hint28,,
13a.sql,hint29,2.293755,
13a.sql,hint30,2.2785,
13a.sql,hint31,,
13a.sql,hint32,,
13a.sql,hint33,2.288406,
13a.sql,hint34,20.43007,
13a.sql,hint35,,
13a.sql,hint36,2.763601,
13a.sql,hint37,7.386827,
13a.sql,hint38,,
13a.sql,hint39,12.172213,
13a.sql,hint40,4.635676,
13a.sql,hint41,2.2898829999999997,
13a.sql,hint42,2.304094,
13a.sql,hint43,4.090743,
13a.sql,hint44,2.2922779999999996,
13a.sql,hint45,,
13a.sql,hint46,2.842263,
13a.sql,hint47,7.632918,
13a.sql,hint48,12.230176,
2d.sql, ,1.061224,
2d.sql,hint1,,
2d.sql,hint2,1.66231,
2d.sql,hint3,1.62062,
2d.sql,hint4,0.566188,
2d.sql,hint5,0.759139,
2d.sql,hint6,,
2d.sql,hint7,0.544081,
2d.sql,hint8,0.734814,
2d.sql,hint9,2.648429,
2d.sql,hint10,2.6461289999999997,
2d.sql,hint11,,
2d.sql,hint12,0.750612,
2d.sql,hint13,,
2d.sql,hint14,0.7479349999999999,
2d.sql,hint15,0.736221,
2d.sql,hint16,,
2d.sql,hint17,1.618851,
2d.sql,hint18,0.572894,
2d.sql,hint19,0.5411480000000001,
2d.sql,hint20,0.735505,
2d.sql,hint21,,
2d.sql,hint22,0.5404779999999999,
2d.sql,hint23,0.755484,
2d.sql,hint24,0.748537,
2d.sql,hint25,0.740446,
2d.sql,hint26,0.741855,
2d.sql,hint27,0.756,
2d.sql,hint28,1.618111,
2d.sql,hint29,0.574705,
2d.sql,hint30,0.544259,
2d.sql,hint31,1.823064,
2d.sql,hint32,0.574322,
2d.sql,hint33,0.5398310000000001,
2d.sql,hint34,2.6395880000000003,
2d.sql,hint35,2.643704,
2d.sql,hint36,0.7390950000000001,
2d.sql,hint37,,
2d.sql,hint38,2.651641,
2d.sql,hint39,0.747096,
2d.sql,hint40,,
2d.sql,hint41,0.566108,
2d.sql,hint42,0.544551,
2d.sql,hint43,,
2d.sql,hint44,,
2d.sql,hint45,,
2d.sql,hint46,0.742651,
2d.sql,hint47,3.174236,
2d.sql,hint48,,
33c.sql, ,0.108157,
33c.sql,hint1,0.030229,
33c.sql,hint2,2.75673,
33c.sql,hint3,1.659215,
33c.sql,hint4,,
33c.sql,hint5,,
33c.sql,hint6,0.01392,
33c.sql,hint7,0.094203,
33c.sql,hint8,0.893889,
33c.sql,hint9,0.143554,
33c.sql,hint10,,
33c.sql,hint11,0.180471,
33c.sql,hint12,1.7638699999999998,
33c.sql,hint13,0.139055,
33c.sql,hint14,,
33c.sql,hint15,0.873583,
33c.sql,hint16,2.759821,
33c.sql,hint17,1.6371669999999998,
33c.sql,hint18,0.028162,
33c.sql,hint19,0.052218,
33c.sql,hint20,0.815443,
33c.sql,hint21,0.014042,
33c.sql,hint22,,
33c.sql,hint23,0.8779779999999999,
33c.sql,hint24,0.177764,
33c.sql,hint25,1.772613,
33c.sql,hint26,,
33c.sql,hint27,0.892933,
33c.sql,hint28,0.979448,
33c.sql,hint29,0.022091,
33c.sql,hint30,0.062671,
33c.sql,hint31,1.425632,
33c.sql,hint32,0.095504,
33c.sql,hint33,0.028741,
33c.sql,hint34,0.143787,
33c.sql,hint35,0.139154,
33c.sql,hint36,0.275863,
33c.sql,hint37,,
33c.sql,hint38,,
33c.sql,hint39,0.124753,
33c.sql,hint40,0.974013,
33c.sql,hint41,0.021803,
33c.sql,hint42,0.062798,
33c.sql,hint43,1.422095,
33c.sql,hint44,0.09559,
33c.sql,hint45,0.029497,
33c.sql,hint46,,
33c.sql,hint47,,
33c.sql,hint48,0.124848,
25c.sql, ,158.629972,
25c.sql,hint1,222.159997,
25c.sql,hint2,20.739719,
25c.sql,hint3,16.786935,
25c.sql,hint4,70.317416,
25c.sql,hint5,9.186578,
25c.sql,hint6,56.937112,
25c.sql,hint7,44.967949,
25c.sql,hint8,8.733735000000001,
25c.sql,hint9,92.525657,
25c.sql,hint10,,
25c.sql,hint11,,
25c.sql,hint12,8.179539,
25c.sql,hint13,68.352525,
25c.sql,hint14,79.116946,
25c.sql,hint15,8.121696,
25c.sql,hint16,,
25c.sql,hint17,14.921239,
25c.sql,hint18,62.212297,
25c.sql,hint19,59.033148999999995,
25c.sql,hint20,8.100979,
25c.sql,hint21,55.769177000000006,
25c.sql,hint22,49.13849,
25c.sql,hint23,,
25c.sql,hint24,86.558301,
25c.sql,hint25,8.473414,
25c.sql,hint26,78.611601,
25c.sql,hint27,7.987514,
25c.sql,hint28,14.492399,
25c.sql,hint29,93.512978,
25c.sql,hint30,78.802115,
25c.sql,hint31,14.754963,
25c.sql,hint32,,
25c.sql,hint33,69.68156,
25c.sql,hint34,,
25c.sql,hint35,70.172181,
25c.sql,hint36,82.582455,
25c.sql,hint37,,
25c.sql,hint38,,
25c.sql,hint39,113.832134,
25c.sql,hint40,15.173896,
25c.sql,hint41,106.170264,
25c.sql,hint42,86.792484,
25c.sql,hint43,15.802601,
25c.sql,hint44,62.244924,
25c.sql,hint45,58.338983,
25c.sql,hint46,91.108614,
25c.sql,hint47,12.123342,
25c.sql,hint48,102.631872,
e7b.sql, ,0.130311,
e7b.sql,hint1,2.752151,
e7b.sql,hint2,60.692595999999995,
e7b.sql,hint3,,
e7b.sql,hint4,,
e7b.sql,hint5,7.058412000000001,
e7b.sql,hint6,1.608021,
